"quote","author","source"
"Just about every single person in the world already has the values they need to care about a changing climate. They just haven't connected the dots.","Katharine Hayhoe","https://www.ted.com/talks/katharine_hayhoe_the_most_important_thing_you_can_do_to_fight_climate_change_talk_about_it"
"If you can lead people to despair, if you can convince people that it's too late to do anything, then they're no longer advocates for the action that's needed.","Michael Mann","https://www.rollingstone.com/politics/politics-features/michael-mann-the-new-climate-war-book-1110937/"
"The truth is bad enough.","Michael Mann","https://yaleclimateconnections.org/2023/09/renowned-climate-scientist-michael-e-mann-on-what-doomers-get-wrong/"
"There's no point beyond which we shouldn't keep trying to limit warming. Every fraction of a degree matters to the level of suffering climate disruption will rain down on us.","Michael Mann","https://yaleclimateconnections.org/2023/09/renowned-climate-scientist-michael-e-mann-on-what-doomers-get-wrong/"
"It is time to stop waffling so much and say that the evidence is pretty strong that the greenhouse effect is here.","James Hansen","https://en.wikipedia.org/wiki/Senate_Hearing_of_James_E._Hansen_(1988)"
"The earth is warmer in 1988 than at any time in the history of instrumental measurements. The global warming is now large enough that we can ascribe with a high degree of confidence a cause and effect relationship to the greenhouse effect.","James Hansen","https://en.wikipedia.org/wiki/Senate_Hearing_of_James_E._Hansen_(1988)"
"Humans are now in charge of future climate.","James Hansen","https://www.goodreads.com/work/quotes/8527750-storms-of-my-grandchildren-the-truth-about-the-coming-climate-catastrop"
"It's real. It's us. But we still have choices about how bad we let it get.","Gavin Schmidt","https://www.fatherly.com/health/nasa-climatologist-gavin-schmidt-interview"
"There's everything to play for and the choices that we have yet to make are the difference between things getting just a little bit worse or it getting very, very, very much worse.","Gavin Schmidt","https://www.fatherly.com/health/nasa-climatologist-gavin-schmidt-interview"
"While we don't individually have everything under control, collectively we can make our views and choices and values felt.","Gavin Schmidt","https://www.fatherly.com/health/nasa-climatologist-gavin-schmidt-interview"
"We need courage, not hope. Grief, after all, is the cost of being alive. We are all fated to live lives shot through with sadness, and are not worth less for it. Courage is the resolve to do well without the assurance of a happy ending.","Kate Marvel","https://onbeing.org/blog/kate-marvel-we-need-courage-not-hope-to-face-climate-change/"
"The opposite of hope is not despair. It is grief. Even while resolving to limit the damage, we can mourn.","Kate Marvel","https://onbeing.org/blog/kate-marvel-we-need-courage-not-hope-to-face-climate-change/"
"Hope is a creature of privilege: we know that things will be lost, but it is comforting to believe that others will bear the brunt of it.","Kate Marvel","https://onbeing.org/blog/kate-marvel-we-need-courage-not-hope-to-face-climate-change/"
"Being a scientist means I believe in miracles. I live on one. We are improbable life on a perfect planet.","Kate Marvel","https://www.rollingstone.com/politics/politics-features/kate-marvel-climate-scientist-jeff-goodell-interview-1064266/"
"The feeling of loss was worse because it was an avoidable loss. As scientists, we've been warning about this for decades. For me, it was a bellwether event.","Kim Cobb","https://yaleclimateconnections.org/2020/04/a-leading-scientists-transition-from-climate-science-to-solutions/"
"Corals that are bleached are not dead. It's an incredibly important distinction that seems to be completely lost on the public.","Kim Cobb","https://e360.yale.edu/features/from_mass_coral_bleaching_scientist_looks_for_lessons_kim_cobb_el_nino"
"What you think reefs might be experiencing in 20 years, they're experiencing now.","Kim Cobb","https://e360.yale.edu/features/from_mass_coral_bleaching_scientist_looks_for_lessons_kim_cobb_el_nino"
"We thought we might have had 10 or 20 years to figure this out. We don't, folks. We need answers right now.","Kim Cobb","https://e360.yale.edu/features/from_mass_coral_bleaching_scientist_looks_for_lessons_kim_cobb_el_nino"
"It is fundamentally about reconnecting the world economy to the biosphere.","Johan Rockström","https://news.mit.edu/2017/johan-rockstrom-framework-for-preserving-earth-resilience-0926"
"The Holocene is the only equilibrium of the planet that we know for certain can support humanity.","Johan Rockström","https://news.mit.edu/2017/johan-rockstrom-framework-for-preserving-earth-resilience-0926"
"Boundaries are set to avoid tipping points, to have a high chance to keep the planet in a state as close as possible to the Holocene, that allows it to maintain its resilience, stability, and life support capabilities.","Johan Rockström","https://earth.org/interview/towards-a-new-global-approach-to-safeguard-planet-earth-an-interview-with-johan-rockstrom/"
"Half of our climate debt is hidden under the carpet of a forgiving planet.","Johan Rockström","https://earth.org/interview/towards-a-new-global-approach-to-safeguard-planet-earth-an-interview-with-johan-rockstrom/"
"Words matter because they affect how we think, feel, and act.","Susan Joy Hassol","https://ncse.ngo/random-samples-susan-joy-hassol"
"It's about making it personal, connecting with people on values, finding common ground.","Susan Joy Hassol","https://ncse.ngo/random-samples-susan-joy-hassol"
"'Natural disasters' is not a good choice for extreme weather events exacerbated by climate disruption.","Susan Joy Hassol","https://ncse.ngo/random-samples-susan-joy-hassol"
"We have the tools we need to tackle the climate challenge. The technologies are abundant and affordable.","Susan Joy Hassol","https://ncse.ngo/random-samples-susan-joy-hassol"
"Balance is a political concept, not a scientific one. It really has no place in science.","Naomi Oreskes","https://www.scientificamerican.com/blog/cross-check/merchants-of-doubt-author-slams-corrosive-climate-change-skepticism/"
"The tobacco industry was way ahead of the postmodernists. They were already deconstructing science in the 1950s.","Naomi Oreskes","https://www.scientificamerican.com/blog/cross-check/merchants-of-doubt-author-slams-corrosive-climate-change-skepticism/"
"It feels especially surreal to be attacked for trying to explain science.","Naomi Oreskes","https://www.scientificamerican.com/blog/cross-check/merchants-of-doubt-author-slams-corrosive-climate-change-skepticism/"
"It wasn't about trusting scientists; it was about trusting science as a process, an enterprise, or an activity.","Naomi Oreskes","https://news.harvard.edu/gazette/story/2019/10/in-why-trust-science-naomi-oreskes-explains-why-the-process-of-proof-is-worth-trusting/"
"All people have values, and we always will have values. If you had scientists with no values, that would be truly scary.","Naomi Oreskes","https://news.harvard.edu/gazette/story/2019/10/in-why-trust-science-naomi-oreskes-explains-why-the-process-of-proof-is-worth-trusting/"
"We unravel as one or regenerate as one.","Katharine Wilkinson","https://www.csuchico.edu/regenerativeagriculture/blog/wilkinson-keynote.shtml"
"To focus only on what we can do as individuals instead of what we can do together will mean failure.","Katharine Wilkinson","https://www.csuchico.edu/regenerativeagriculture/blog/wilkinson-keynote.shtml"
"The Feminist Climate Renaissance is not a revolution or a takeover or a war, but rather an upwelling of a better way to do climate-oriented work.","Katharine Wilkinson","https://grist.org/fix/arts-culture/6-experts-on-the-dawning-of-a-feminist-climate-renaissance/"
"I think about the feminine as the life-giving energy that circulates through the world.","Katharine Wilkinson","https://grist.org/fix/arts-culture/6-experts-on-the-dawning-of-a-feminist-climate-renaissance/"
